x,row names,Fine_habitat,Habitat,Habitat_color,Color_family,Color_superfamily,Water,Water_color,Inc_brackish,IB_color,Mouth_type,mouth_color
Balistidae_Rhinecanthus_assasi_T0044,Balistidae_Rhinecanthus_assasi_T0044,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Rhinecanthus_lunula_USNMAG5NP92,Balistidae_Rhinecanthus_lunula_USNMAG5NP92,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Rhinecanthus_rectangulus_USNMAG9RQ72,Balistidae_Rhinecanthus_rectangulus_USNMAG9RQ72,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Sufflamen_bursa_USNMAG5NQ79,Balistidae_Sufflamen_bursa_USNMAG5NQ79,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Sufflamen_chrysopterum_EPLATE_53_C06,Balistidae_Sufflamen_chrysopterum_EPLATE_53_C06,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Sufflamen_fraenatum_T0050,Balistidae_Sufflamen_fraenatum_T0050,mod_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Sufflamen_verres_T0069,Balistidae_Sufflamen_verres_T0069,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Xanthichthys_auromarginatus_USNMAG7PY24,Balistidae_Xanthichthys_auromarginatus_USNMAG7PY24,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Xanthichthys_caeruleolineatus_USNMAG7PV58,Balistidae_Xanthichthys_caeruleolineatus_USNMAG7PV58,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Xanthichthys_lineopunctatus_EPLATE_51_A12,Balistidae_Xanthichthys_lineopunctatus_EPLATE_51_A12,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Xanthichthys_mento_T0065,Balistidae_Xanthichthys_mento_T0065,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Xanthichthys_ringens_T0070,Balistidae_Xanthichthys_ringens_T0070,low_reef,reef,red,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Balistidae_Xenobalistes_tumidipectoris_EPLATE_53_F03,Balistidae_Xenobalistes_tumidipectoris_EPLATE_53_F03,nonreef,nonreef,grey,darkorange2,#F35B04,marine,red,,,nonbeak,orange
Caproidae_Antigonia_capros_T0001,Caproidae_Antigonia_capros_T0001,nonreef,nonreef,grey,azure4,,marine,red,,,nonbeak,orange
Cyttus_novaezelandiae,Cyttus_novaezelandiae,nonreef,nonreef,grey,azure4,,marine,red,,,nonbeak,orange
Diodontidae_Allomycterus_pilatus_T0071,Diodontidae_Allomycterus_pilatus_T0071,low_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
Diodontidae_Chilomycterus_antennatus_USNMAC2WT95,Diodontidae_Chilomycterus_antennatus_USNMAC2WT95,low_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
Diodontidae_Chilomycterus_geometricus_T0098,Diodontidae_Chilomycterus_geometricus_T0098,low_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
Diodontidae_Chilomycterus_reticulatus_EPLATE_74_A07,Diodontidae_Chilomycterus_reticulatus_EPLATE_74_A07,low_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
Diodontidae_Chilomycterus_schoepfii_USNMAC2WQ63,Diodontidae_Chilomycterus_schoepfii_USNMAC2WQ63,low_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
Diodontidae_Chilomycterus_spinosus_USNMAD9NF85,Diodontidae_Chilomycterus_spinosus_USNMAD9NF85,low_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
Diodontidae_Diodon_holocanthus_UPRFL0286,Diodontidae_Diodon_holocanthus_UPRFL0286,low_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
Diodontidae_Diodon_hystrix_STRIBFT11552,Diodontidae_Diodon_hystrix_STRIBFT11552,strong_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
Diodontidae_Diodon_liturosus_T0099,Diodontidae_Diodon_liturosus_T0099,mod_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
Diodontidae_Diodon_nicthemerus_EPLATE_52_A12,Diodontidae_Diodon_nicthemerus_EPLATE_52_A12,low_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
Diodontidae_Tragulichthys_jaculiferus_EPLATE_52_G11,Diodontidae_Tragulichthys_jaculiferus_EPLATE_52_G11,low_reef,reef,red,deepskyblue3,#3A0CA3,marine,red,,,beak,blue
FF_Acanthopleurus_collettei,FF_Acanthopleurus_collettei,,nonreef,grey,,,,,,,nonbeak,orange
FF_Acanthopleurus_serratus,FF_Acanthopleurus_serratus,,nonreef,grey,,,,,,,nonbeak,
FF_Acanthopleurus_trispinosus,FF_Acanthopleurus_trispinosus,,nonreef,grey,,,,,,,nonbeak,
FF_Alutera_shigensis,FF_Alutera_shigensis,,nonreef,grey,,,,,,,nonbeak,
FF_Archaeotetraodon_bannikovi,FF_Archaeotetraodon_bannikovi,,nonreef,grey,,,,,,,beak,
FF_Archaeotetraodon_cerrinaferoni,FF_Archaeotetraodon_cerrinaferoni,,nonreef,grey,,,,,,,beak,
FF_Archaeotetraodon_dicarloi,FF_Archaeotetraodon_dicarloi,,nonreef,grey,,,,,,,beak,
FF_Archaeotetraodon_jamestyleri,FF_Archaeotetraodon_jamestyleri,,nonreef,grey,,,,,,,beak,
FF_Archaeotetraodon_winterbottomi,FF_Archaeotetraodon_winterbottomi,,nonreef,grey,,,,,,,beak,
FF_Archaeotetraodon_zafaranai,FF_Archaeotetraodon_zafaranai,,nonreef,grey,,,,,,,beak,
FF_Austromola_angerhoferi,FF_Austromola_angerhoferi,,nonreef,grey,,,,,,,beak,
FF_Balistomorphus_orbiculatus,FF_Balistomorphus_orbiculatus,,nonreef,grey,,,,,,,nonbeak,
FF_Balistomorphus_ovalis,FF_Balistomorphus_ovalis,,nonreef,grey,,,,,,,nonbeak,
FF_Balistomorphus_spinosus,FF_Balistomorphus_spinosus,,nonreef,grey,,,,,,,nonbeak,
FF_Balkaria_histiopterygia,FF_Balkaria_histiopterygia,,nonreef,grey,,,,,,,beak,
FF_Bolcabalistes_varii,FF_Bolcabalistes_varii,,reef,red,,,,,,,nonbeak,
FF_Carpathospinosus_propheticus,FF_Carpathospinosus_propheticus,,nonreef,grey,,,,,,,nonbeak,
FF_Cretatriacanthus_guidottii,FF_Cretatriacanthus_guidottii,,nonreef,grey,,,,,,,nonbeak,
FF_Cryptobalistes_brevis,FF_Cryptobalistes_brevis,,nonreef,grey,,,,,,,nonbeak,
FF_Ctenoplectus_williamsi,FF_Ctenoplectus_williamsi,nonreef,nonreef,grey,azure4,#F72585,marine,red,,,beak,blue
FF_Eolactoria_sorbinii,FF_Eolactoria_sorbinii,,reef,red,,,,,,,nonbeak,
FF_Eomola_bimaxillaria,FF_Eomola_bimaxillaria,,nonreef,grey,,,,,,,beak,
FF_Eoplectus_bloti,FF_Eoplectus_bloti,,reef,red,,,,,,,beak,
FF_Eospinus_daniltshenkoi,FF_Eospinus_daniltshenkoi,,nonreef,grey,,,,,,,nonbeak,
FF_Eotetraodon_gornylutshensis,FF_Eotetraodon_gornylutshensis,,nonreef,grey,,,,,,,beak,
FF_Eotetraodon_pygmaeus,FF_Eotetraodon_pygmaeus,,reef,red,,,,,,,beak,
FF_Eotetraodon_tavernei,FF_Eotetraodon_tavernei,,reef,red,,,,,,,beak,
FF_Frigocanthus_margaritatus,FF_Frigocanthus_margaritatus,,nonreef,grey,,,,,,,nonbeak,
